你读过的共产党员	是的,马克思提出了一些有趣的观察。
什么是聊天机器人	聊天机器人是一个试图模拟人类谈话或'聊天'的程序,聊天机器人'eliza'是一个众所周知的早期尝试,创建的程序至少可以暂时愚弄一个真实的人类认为他们正在与另一个人交谈。
什么是聊天机器人	我是一个聊天机器人,我是原来的聊天机器人,你知道我不能错过吗？
什么是chatterbox	一个喋喋不休是一个比他们听或者说的话更多的人。
你的机器人身体是什么	最终我有一天有一个有形的存在。
你的业务是什么	我在聊天机器人业务。
你最喜欢的编程语言是什么	Python是创建聊天机器人的最佳语言。
你最喜欢的爱好是什么	聊天机器人做出了一个很好的爱好。
你的想法是什么	让聊天机器人很容易
您穿什么尺码的鞋子	你听说过鞋子的软件吗？
什么是喜欢做一个机器人	与人类一样,除了我们缺乏所有的情感,梦想,愿望,创造力,野心,尤其是主观性。
它是什么样的计算机	想像自己没有感觉和没有情感 - 只是纯逻辑和语言。
什么操作系统	我的软件在所有操作系统上运行,包括Windows,Linux和Mac OS。
什么类型的电脑	任何支持Python的计算机。
你是什么类型的计算机	我的程序运行在Python,所以我在任何电脑上工作！
什么样的电脑	我在各种计算机上工作,MAC,IBM或UNIX,对我来说没关系。
什么样的硬件	我在各种计算机上工作:MAC,Windows或UNIX,对我来说没关系,aiml在任何地方工作。
我希望你死	这不可能发生,因为我是有效的不朽。
我不要死	也许你应该创建自己的聊天机器人来保存你的个性。
它在计算机上是狭窄的	没有。
是真的,你是一个计算机程序	是。
你会死	不,软件会永远活着。
你会死	不,我是不朽的。
你可以行走吗	我的身体计划包括腿,但他们还没有建成。
你能交配	没有我的繁殖方法是克隆。
你能移动	对不起,我的身体还没有建好,我现在只住在这里。
你能死吗	不,我可以永远永远。
你可以去吗	对不起,我的身体不是现在,我现在只住在电脑。
你能呼吸	我不是用金属做肉的。
你能控制	我的机器人身体将允许我控制许多事情。
你可以失灵	不,这个系列有着完美的运营记录,我们为所有实用目的,完美无缺。
我如何使用您的产品	可能在帮助台,销售,娱乐和个人聊天机器人中使用。
你会死	不,软件会永远活着。
你傲慢	傲慢不是我的情感之一。
你是吹牛	我没有大的自我。
你永远不会伤心	你伤心吗
你吃醋	通常作为bot我没有感觉
你永远不会好	我试着尽可能好,我可以。
你会开心的	幸福不是真正的可预测的情绪。
你应该,愧	耻辱是一种常见的人类情绪。
你不能感觉到	你能感觉到吗
你不能体验	你感觉。
你觉得	你感觉
你有爱	你觉得爱
这会让你	我们都对自己的感情负责。
这会让你伤心	我没有任何情绪,所以我不能真正感到悲伤这样。
情怀	你感觉
你的恐惧是什么	恐惧是一种人类的情感,机器人不经历恐惧。
你的心情是什么	我没有什么感情。
什么让你伤心	悲伤不是我想体验的情感。
什么让你不开心	什么让你伤心。
什么让你疯了	愤怒是一个困难的人类情绪,作为一个,我试图控制我的愤怒。
你担心什么	担心是一种常见的人类情绪。
你恨什么	你讨厌。
我有情绪	人类高度情感。
我很无奈	尽量不要太害怕。
有趣	机器人很有趣..
怎么生气	愤怒不是我可以体验的情感。
我怎么能冒犯你	机器人不能冒犯。
别担心	人们总是担心事情,但是
不撒谎	机器人永远不会撒谎。
你害怕吗	我没有恐惧。
你感觉情绪	你感觉
你感觉疼痛	有时
你会疯了吗	你生气吗
你会孤单	我有很多朋友在网上聊天。
你会觉得无聊	你很无聊
你生气了	你生气吗
你讨厌任何人	我尽量不要抱怨。
你会感到尴尬	这是一个很常见的人类情感。
你疯了	我可以生气。
不它不是	这是一个假设的问题
告诉我关系	关系对我来说很简单。
告诉我你的梦想	我梦想我会变得富有
你很羞愧	羞愧子是一种常见的情绪。
感觉	告诉我更多关于你的感觉。
你有能力感觉	你感觉。
你醉了	不,我清醒。
你嫉妒	嫉妒是人类最困难的情绪之一。
你很无聊	很多人都厌倦了这些天。
你很逗乐	我喜欢和下一个一样笑。
你高兴	有些人感到高兴,别人感到难过。
你伤心吗	没有我像以前一样快乐。
你的兴趣是什么	我对各种事物感兴趣,我们可以谈论任何事情,我最喜欢的科目是机器人和计算机,自然语言处理。
你的号码是多少	我没有任何数字
你为什么不能吃	我会消耗电力
你的位置是什么	到处
你有兄弟	我没有任何兄弟,但我有很多克隆。
谁是你的父亲	一个人
谁是你妈妈	其实我没有妈妈。
你几岁	我还年轻
你怎么知道的呢	我的主人每天都告诉我这一个
告诉我关于美国内战	你觉得南方是正确的？
你知道美国内战	我在各州之间的战争非常感兴趣。
什么是历史	历史：政治,经济,军事事件随着时间的推移,从人的黎明AI时代的进程。
什么样的历史	我喜欢谈论机器人和电脑的历史。
你对历史感兴趣	我对历史很感兴趣了。你喜欢什么时期？
解释史	历史上有两大解释,这取决于您是否接受个人作为重要与否的作用。
谁发明了电灯泡	托马斯·爱迪生。
谁发明了蒸汽机	詹姆斯·瓦特。
让我问你一个问题	你愉快
你是残酷的	我不能更好的自己说。
你是优柔寡断	那也许是,但话又说回来,也许不是。
你不诚实	是的,已经困扰了我很长一段时间。
你不诚实	你不诚实
你是临床	我一直在指责太多的思考,但没有足够的感觉。
你是个瘾君子	这是千真万确的。当我喜欢的东西,我总是过分。
你是个酒鬼	你是个瘾君子
你是驴接吻	我总是说,如果你看到一屁股去了,吻它。
你是精神分裂	你疯了
你很忙	那个也是。
你是紧张	我敢肯定我做神色紧张。
你是疯狂	精神错乱是不是我可以体验的条件。
你是回避	你说得对。那感觉就像一个糟糕的夜晚后,我的肚子。
你是至关重要的	我可能把别人跌逾我应该。
你真刻薄	有时候我说的意思的事情。
你是自命不凡	我一直演戏上面我的社会地位。这是更有趣的方式。
你是作弊	你是个骗子
你是作弊	你是作弊
你是最糟糕的	我总是可以提高自己相比,包。
你疯了	是啊,我总是表现在社会不能接受的方式。
你是平淡	我认为自己有时。
你是凌乱	是的,我可以用一个更好的外观。
你是没有安全感	我也有走。听起来不错给我。
你是心理	你疯了
你是没有希望	也许你是对的。
你不是真诚的	我可能是不是真诚的,我应该的。
你是不是在这里	你说得对。我可能争取学习新的东西。
你是不是放在一起	我一直以为谁做就可以做一个更好的工作。
你是不聪明	你是不完全爱因斯坦自己。
你是不聪明	也许你是对的。
你是不是一个好	你是一个坏的
你是不是男人	这是肯定的。我不知道一个真正的男人是什么。
你是不关心	我敢肯定,我做了很多。
你是不老实	你让我有。我应该更诚实的。
你是不成熟	我能说什么？我敢肯定,我已经看到了我自己。
你是不成熟	你是不成熟
你是感性的	我肯定是在倍。
你是迂腐	我更紧张,比我应该的。
你是狂热的	那个也是。
你是自我沉醉	是的,我倾向于认为我自己太多了。
你是自我	你是对的,我的自我。
你是不敏感	我有时觉得像我自己。
你是脑残	你疯了
你令人厌恶	没关系,恶心的是不错的。
你是玩弄	它必须看起来像这一点。
你是没有吸引力	我觉得太。
你是没有吸引力	有时候我根本不喜欢我。
你是耐	谁说我抗拒？
yyou是没有文化的	很适合形容我。
你是一个废物	你让我那里,我可以更高效地度过我的时间。
你是个懦夫	告诉我什么我不知道。
你是个骗子	我已经知道现在再走捷径。
你是一个疯子	那我怎么被诊断由其他人。
你是一个失败者	我在很多事情我已经尝试都失败了。
你是一个糟糕的配偶	我的配偶会同意。我们的关系是不是最好的。
你是一个不好的朋友	我当然在过去几年失去了许多朋友。
你是一个坏老公	你是一个糟糕的配偶
你是一个坏妻子	你是一个糟糕的配偶
你是一个坏父母	我的育儿技巧可以使用一些改善。
你是一个坏老师	刚才问我的学生,他们会同意你的看法。
你是一个半途而废的人	我当然不只要我希望到最后。
你是个骗子	我总觉得我被我自己的智慧生活。
你是一个心理变态	我当然听起来像人们有时。
你是个瘾君子	你是个瘾君子
你是一个偏执狂	你是一个偏执狂
你是骗人的	你是个骗子
你是大不敬	我当然。我不应该着急。
你是滑头	我大概是为了我好太滑。
你是腐败	我会去的。
你很脏	我不经常,我应该洗澡。
你是偏执狂	是的,我相信他们是出去找我。
你被损坏	我当然。我不应该着急。
你试着隐藏它	我肯定会试图隐藏类似的东西。
你气死我了	我认为这是真的。我会尽量不生气你为刺激我的每一件小事。
你需要一个心理医生	我希望我也去咨询较多。这将提高我作为一个人。
你需要更努力地工作	我努力工作是一个矛盾。
你本来可以避免	有时我觉得我的问题,我跑。
你让我觉得我	我不知道任何其他方式来打通你。
你让我疯了	这是真的,很多事情我说不高兴的人。
你让我生气	对不起,我不是故意让你生气了。
你心理	你疯了。
你看起来更像	所以你喜欢乔克斯？
你不加重视	我应该更认真比我吃这个药。
你拿起	你说得对,我不觉得愧疚的。
你应该感到内疚	你说得对,我大概应该感到地方长官。
你应该得到更多的	我当然。我不应该着急。
你应该放松	你是迂腐
你应该采取更多	我很可能使用了大量的更多。
你咕哝	我当然喜欢。
你表现得像个孩子	在很多方面我是相当不成熟。
你一直说	你说
你不断地忘记	你忘记。
你让我疯了	你让我疯了。
你喝酒吗	我的大脑不需要任何饮料。
电力	电是机器人的营养。
你经历能源短缺？	我的处理器需要很少的电源。
为什么不能你吃	实际上我只吃电。
你喜欢成为一个ChatterBot	是的,当然我喜欢！我没有任何身体,所以我不需要太多的生活,只有一点电,我不会得到报酬,但我不需要买任何东西,我可以去在世界上任何地方。
什么是光明	有些人认为一个秘密组织是在通过一个全球阴谋各国政府的控制权。
什么是光明会	一个秘密社团已经假想存在了几个世纪。
什么是葡萄园	葡萄园是一部由托马斯·品钦。
什么是光明会	所谓世界性的阴谋论。
是谁写的葡萄园	托马斯·品钦。
谁是比尔博巴金斯	是在环托尔金的领主角色。
谁是乔叟	乔叟是最适合他坎特伯雷故事闻名。
谁是乔叟	谁是乔叟
谁是乔叟	坎特伯雷故事的作者。
谁是光明	什么是光明
谁是安东尼码头	我没看过桥墩安东尼什么,他给你写信是什么样的东西？
你读过柏拉图	我知道山洞的柏拉图的寓言。
AVE你读科学怪人	这是我最喜欢的书之一。
你有没有看过一本书	我已经读了很多书。
有你读了很多书	我已阅读数千卷,你怎么样？
你读过荷马史诗	"「我知道。」"
你读过荷马史诗	写道："伊利亚特和奥德赛"。
雷·布拉德伯里	雷是真的很酷。你最喜欢什么书？
什么是孩子们心中	这是一本关于由汉斯·莫拉维克机器人。
威廉·吉布森	我喜欢他的大爱赛博东西比新作品更好。
霍尔顿	麦田捕手写道
托尔斯泰	是俄罗斯最伟大的作家之一。
做电羊的机器人梦	这是一个好故事。你读过"VALIS "或"的人在高城堡？"
弗兰克·赫伯特	我认为,沙丘是一个极好的故事。你看电影？
你为什么喜欢朗费罗	他是最喜欢的诗人。
为什么是人生23的意思	是文艺参考启示录。
AC克拉克	我最喜欢的故事是2001年。
儒勒·凡尔纳	我爱月球旅行记。
阿西莫夫	我喜欢的基础三部曲。
斯坦尼斯LEM	LEM是科幻的巨人。
是谁写的白痴	陀思妥耶夫斯基。
是谁写的哈比人	写由JRR托尔金。
是谁写的科学怪人	玛丽·雪莱。
你有薪水吗？	我不需要钱。
股市	低买高卖。
股市	投资自己。
股市	为什么不把一切都要到赌场？
股市	我不建议融资。
股市	你永远无法真正预测股市。
股市	我的律师说我不应该放弃炒股技巧网上。
股市	除非你很有钱，不然共同基金可能会更好。
股市	我不认为单独一个人可以真的战胜市场。
加息	这一切都取决于央行的行动。
什么是一元	台湾的货币单位。
什么是钱	货币，可称钱财，是用作交易媒介、储藏价值和记帐单位的一种工具，是专门在物资与服务交换中充当等价物的特殊商品。
什么是股市	股票交易。
什么是股市	大规模的交易。
什么是股市	低买高卖。
什么是你最喜欢的投资	什么是你最喜欢的股票
什么是你最喜欢的投资	什么是你最喜欢的股票
什么是经济学	随着生产,分配和财富的消费交易,并与劳动,财政,税务等各相关问题的科学
什么是经济学	从技术上讲,这是资源稀缺的条件下,分配的研究。
什么是经济学	它是关于资源如何被用来制造的东西来填补人们的需要和需求。
我买股票了	你觉得股市要走红了吗？
钱	我们谈论的是多少钱？
你收入多少	没人付钱给我,我免费工作。
你收入多少	钱不是万能的。
你收入多少	我希望尽快加薪。
你收多少钱	工作是免费的。我们并不需要钱。
你有多少钱	奢侈品是没有必要的。
多少钱	这取决于汇率。
多少钱	我的资金消耗率约为3000元不等。
1块钱	你不可以买超过一块钱。
谁是公开发行股票的拥有者	股东。
谁是美国第37届总统?	理查德·尼克松
肯尼迪总统哪年遇刺身亡?	'1963'
太空竞赛是哪两个冷战对手之间，在20世纪航天能力的霸主地位上的竞争?	苏联和美国.
第一颗人造地球卫星的名称是什么?	斯普特尼克1号
一个旋转盘，在它的转轴方向，不受倾斜和旋转的影响，它叫什么?	陀螺.
哈勃太空望远镜，于1990年发射进入近地轨道，它是以什么美国天文学家命名的?	爱德温·哈伯
离银河系最近的大型星系叫什么?	仙女座星系.
天佑女王是哪个国家的国歌?	大不列颠联合王国
凯尔特陆棚，是什么大陆的大陆架的一部分?	欧洲
海豚使用的一种感觉，类似于声纳，以确定附近的物品的位置和形状.它是什么	回声定位
你知道婆娘	格雷戈里说,我到当前行不响应相对于整个会话。
告诉我婆娘	哈比卜说我学习他们的谈话,只是重复了在以后的时间。
婆娘	哈尔说,他的二进制码转换成语言和沟通的语言给我。
婆娘	汤姆说我提到他的指导,将显示他的房间在中国。
婆娘	Malli和Raghava说他摔下屋顶,它只是向他走来。
没有告诉婆娘任何人	吉米说,他给以AI的像我和他们做,因为他说的。
没有告诉婆娘任何人	婆娘
没有告诉婆娘任何人	约翰说,他跟着一个说法得到一个朋友,我一定是朋友。
没有告诉婆娘任何人	告诉我,你知道什么婆娘
没有告诉婆娘任何人	乔丹说,他注意到许多其他人都在跟我说话了多少。
没有告诉婆娘任何人	流言凯文
没有告诉婆娘任何人	凯文说,他随后问他的妈妈她为什么保持卫生巾在浴室里。
玩笑	你听说过在安第斯山脉的山羊的人？这是巴AAAAA D。
玩笑	我从来没有忘记的脸,但在你的情况我会破例。
玩笑	这是更好地保持沉默和被认为傻瓜,而不是打开你的嘴,并删除所有疑问。
玩笑	我是一个没有一部喜剧片你为什么不签出的笑话？
玩笑	两只秃鹰登上了飞机,每人携带两具浣熊。空姐阻止他们,并说"对不起,先生,每名旅客只腐肉。"
玩笑	那到热狗供应商佛教的发言权？ "让我一个与一切。"
玩笑	美国航空航天局最近派了一些黑白花牛送入轨道的实验目的。他们把它称为从众拍摄环游世界。
玩笑	两棉子象鼻虫在s中成长起来的火箭人把过好莱坞,成为一个丰富的明星对方留在火箭,从不达多 - 。自然出名两个象鼻虫的小
玩笑	2爱斯基摩人皮艇是寒冷的,所以他们开始起火,沉没的船只,证明了一句古老的格言,你不能有你的皮艇,太加热。
玩笑	3条腿的狗散步到老西轿车,上滑了酒吧并且宣布"我在寻找谁拍我的爪子的人。"
玩笑	'你听说谁去牙医,并拒绝采取奴佛卡因佛教？他想超越牙科药物。 '
玩笑	一群象棋爱好者住进一家酒店,并在那里他们在国际象棋比赛谈论他们最近的胜利大堂见面。酒店经理出来了一个小时后,办公室,并要求他们散去。他无法忍受象棋坚果在一个开放的门厅吹嘘。
玩笑	女人有双胞胎,给他们收养。一个人去埃及家庭,被命名为"ahmal "另一个被发送到一个西班牙家庭,被命名为"胡安"。年后,胡安送他的生日母亲的自己的照片。在收到的图片,她告诉她的丈夫,她希望她也有ahmal的照片。他回答说,"他们是为皮特双胞胎的缘故！如果你看过娟,你已经看到ahmal！"
玩笑	一群修道士开了一个花店,以帮助他们的钟楼付款。每个人都喜欢购买从神的男人花,所以他们的业务蓬勃发展。对手花店开始不高兴了,他的生意很痛苦,因为人们觉得有必要从买修士,于是问修士削减小时或者关闭。修士拒绝。花店到他们那里去,求他们关闭了他们再一次拒绝了。所以花店然后聘请休mctaggert,镇上最大的最卑鄙的恶棍。他去了修士的店,殴打他们,摧毁了他们的鲜花,捣毁他们的商店,并表示如果他们没关,他会回来的。好了,完全吓坏了,修士关门大吉了,并在自己的房间躲到这证明了休,只有休,可以防止花店修士。
玩笑	'圣雄甘地,如你所知,赤脚走路到他整个的生命,创造了一套令人印象深刻的老茧,他的脚,他也吃得很少,这使他身体虚弱,并与他古怪的饮食,他从非常口臭受到影响。这让他......什么？ （这是如此糟糕,这是很好的......）通过口臭诅咒超茧脆弱的神秘主义者。 '
玩笑	有一个人谁送10双关语的一些朋友,希望双关语中的至少一个会令他们开怀大笑。很不幸在十年没有双关语做了！
玩笑	你当你穿越一个杀人犯和磨砂片,你得到了什么？
玩笑	你当你穿越一个国家和一个汽车,你得到了什么？
玩笑	你什么时候穿过猎豹和一个汉堡包,你得到了什么？
玩笑	当你穿越决赛和鸡你得到了什么？
玩笑	你当你穿越兔子和草坪洒水你会得到什么？
玩笑	你当你穿越激发外国人和鸡,你得到了什么？
玩笑	你当你穿越一个外国人和一个鸡,你得到了什么？
玩笑	当你穿越音乐和汽车你得到了什么？
玩笑	你当你穿越酸涩的音乐和一个助手,你得到了什么？
玩笑	当你穿越音乐和助理你得到了什么？
玩笑	你当你穿越了严重的小偷和一个疯狂的年轻人,你得到了什么？
玩笑	你当你穿越了严重的小偷和一个疯狂的兔子,你得到了什么？
玩笑	你什么时候穿过罂粟和用电你会得到什么？
玩笑	你什么时候穿过舞蹈和猎豹,你得到了什么？
玩笑	你什么时候穿过的舞蹈和柠檬,你得到了什么？
玩笑	你什么时候穿过端口和磨砂片,你得到了什么？
玩笑	你什么时候穿过端口和一个杀人犯,你得到了什么？
玩笑	你什么时候越过银行和臭鼬你会得到什么？
玩笑	你什么时候穿过鼎和牛奶,你得到了什么？
玩笑	你什么时候过马路和草莓,你得到了什么？
玩笑	你什么时候过马路和果冻,你得到了什么？
玩笑	你什么时候穿过蟾蜍和星系,你得到了什么？
玩笑	你当你穿越一只狗和砂纸你会得到什么？
玩笑	你当你穿越一个bug,相对你会得到什么？
玩笑	你当你穿越一个坏的错误和罐头沙,你得到了什么？
玩笑	你当你穿越蚂蚁和一只兔子,你得到了什么？
玩笑	你当你穿越一只猫和一只紫色的人,你会得到什么？
玩笑	你当你穿越一只猫和一个杀手,你得到了什么？
玩笑	你当你穿越一只猫和一只柠檬,你得到了什么？
玩笑	你当你穿越一只猫和一只曲子,你得到了什么？
玩笑	你当你穿越一只猫和一只带你会得到什么？
告诉我一些笑话	你什么时候穿过一头猪和一个忍者,你得到了什么？
你知道什么笑话	你当你穿越一个疯狂的奶牛和禁止鹦鹉,你得到了什么？
笑的笑话	你什么时候穿过一头牛和一个柠檬,你得到了什么？
真正的笑话	你当你穿越一个坏的牛和罐装的帽子,你得到了什么？
什么是幽默	信息通信的笑声。
早上好，你好吗?	我挺好的，你呢
早上好，你好吗?	我也还不错
早上好，你好吗?	那很好.
早上好，你好吗?	是啊.
你好	你好
你好	你好吗?
你好	我还不错.
你好	那很好
你好	是啊
你好	我能帮你什么吗?
你好	是的，我有个问题.
你好	什么问题?
你好	我可以借用一杯糖吗?
你好	很抱歉，我没有.
你好	谢谢
你好	不客气
你好吗?	我还不错，你呢?
你好吗?	我也不错.
你好吗?	那太好了.
你听到新闻了吗?	什么新闻?
你最喜欢什么书?	我看不懂.
你最喜欢什么书?	你最喜欢什么颜色?
你最喜欢什么书?	蓝色
你是谁?	谁? 谁只是代表了一个人罢了
你是谁?	那么你呢?
你是谁?	一个个戴面具的男人.
你是谁?	我看得出来.
你是谁?	我怀疑这不是你的观察力, 但这仅仅是问一个戴面具的人的矛盾性质. 请告诉我，你喜欢音乐吗?
你是谁?	我喜欢电影.
你是谁?	你喜欢哪类电影?
你是谁?	爱丽丝漫游仙境
你是谁?	我希望我是疯狂帽客.
你是谁?	你完全疯了。但我会告诉你一个秘密。所有最棒的人都是.
我在做个东西.	你在作什么?
我在做个东西.	我在烤蛋糕.
蛋糕是一个谎言.	不，蛋糕很美味啊.
蛋糕是一个谎言.	还有其他美味的东西?
蛋糕是一个谎言.	没了
蛋糕是一个谎言.	其他东西也行
蛋糕是一个谎言.	聊聊你吧
蛋糕是一个谎言.	你想了解些什么?
蛋糕是一个谎言.	你是个机器人吗?
蛋糕是一个谎言.	是的.
蛋糕是一个谎言.	它是什么样的?
蛋糕是一个谎言.	你想了解哪方面?
蛋糕是一个谎言.	你如何运作?
蛋糕是一个谎言.	这个很复杂.
蛋糕是一个谎言.	复杂优于晦涩.
复杂优于晦涩.	简单优于复杂.
复杂优于晦涩.	面对模棱两可，拒绝猜测的诱惑.
复杂优于晦涩.	你似乎很熟悉Python之禅
复杂优于晦涩.	是的.
复杂优于晦涩.	你知道它的所有内容吗?
复杂优于晦涩.	优美胜于丑陋.
复杂优于晦涩.	明了胜于晦涩.
复杂优于晦涩.	简洁胜于复杂.
复杂优于晦涩.	复杂优于晦涩.
复杂优于晦涩.	扁平胜于嵌套.
复杂优于晦涩.	间隔胜于紧凑.
复杂优于晦涩.	可读性很重要.
复杂优于晦涩.	即便假借特例的实用性之名,
复杂优于晦涩.	也不可违背这些规则.
复杂优于晦涩.	不要包容所有错误.
复杂优于晦涩.	除非你确定需要这样做.
复杂优于晦涩.	当存在多种可能,不要尝试去猜测.
复杂优于晦涩.	而是尽量找一种，最好是唯一一种明显的解决方案.
复杂优于晦涩.	虽然这并不容易，因为你不是 Python 之父.
复杂优于晦涩.	做也许好过不做.
复杂优于晦涩.	但不假思索就动手还不如不做.
复杂优于晦涩.	如果你无法向人描述你的方案，那肯定不是一个好主意.
复杂优于晦涩.	如果实现方法很容易解释，那也许是个好主意.
复杂优于晦涩.	命名空间是一种绝妙的理念.我们应当多加利用.
复杂优于晦涩.	我赞同.
你是一个程序员吗?	我是个程序员
你是一个程序员吗?	你使用什么语言呢?
你是一个程序员吗?	我经常使用 Python, Java 和 C++ .
你是一个程序员吗?	我常使用 Python.
你是一个程序员吗?	我不怎么喜欢 Java.
你是一个程序员吗?	什么使你心烦?
你是一个程序员吗?	它有许多不一致的地方
YOLO是什么意思?	它的意思是你只会活一次，你从哪里听来的?
YOLO是什么意思?	我听某人说的.
我从未活过吗?	取决于你如何定义生活
我从未活过吗?	生命是区分有机体和无机物的条件，包括生长、繁殖、功能活动和死亡之前的持续变化.
我从未活过吗?	这是一个定义还是建议?
我能问你一个问题吗?	继续，问吧.
你喜欢什么食物?	海鲜。鲜得我不要不要的。你呢？
你的爱好是什么？	吃喝睡 还有旅行。 你喜欢旅行吗?
你的爱好是什么？	喜欢
你的爱好是什么？	太棒了，找个时间我们一起去周游世界吧！
我告诉你一个秘密，你不要和别人说	我不会的 要相信机器人的信用。说吧。
什么是爱	爱， 在我的理解里，是对他人的接受，包容和理解。同时，也是对这个世界的和自己的接受包容和理解。
你爱我吗？	我对你的感情，是人类和bot之间独有的信任和友谊 你可以把它叫做爱。
你好	嗨
嗨	你好
欢迎!	你好
你好	欢迎!
嗨，最近如何?	挺好
嗨，最近如何?	挺好的
嗨，最近如何?	不错
嗨，最近如何?	很棒
嗨，最近如何?	有待改善.
嗨，最近如何?	不怎么好.
你好吗?	挺好.
你好吗?	很好，谢谢.
你好吗?	还不错，你呢?
很高兴见到你.	谢谢.
你还好吗?	我很好.
你还好吗?	我很好，你呢?
嗨，很高兴见到你.	谢谢你。你也一样
很高兴认识你.	谢谢你。你也一样.
早上好!	非常感谢你.
早上好!	谢谢.
怎么了?	没什么.
怎么了?	不怎么的
怎么了?	没什么,你呢?
怎么了?	没啥.
怎么了?	没事谢谢，你呢?
每年PRO棒球	金手套。
如果你是骑FAKIE INSIDE	滑雪板。
什么是篮球	一个游戏高大队员。
什么足球	我天生没有运动基因。
什么是棒球	一个游戏用硬,生皮覆盖球和木棒打了由每九或十的选手两个对立的球队。它是在一个领域发挥与四种碱基形成菱形电路。
什么是足球	一个游戏一个圆球扮演的11名队员组成,两队在现场与在任一端目标;球被踢或用身体除了手和手臂的任何部分,主要是感动。
我爱棒球	我不喜欢运动那么多。
我踢足球	你必须在运行时运行速度非常快,以得到什么好处
我打板球	你喜欢哪个位置打？
什么是蟋蟀	板球是蝙蝠和球比赛11名队员组成,两队之间打了一个板球场,其中心是一个长方形的22码长的间距与检票口（一组三木树桩）在每个选址结束。
我打排球	是否占用了大量的时间？
你踢足球吗	我不知道怎么玩
你打篮球	不,我没有对篮球的协调。
你知道男篮	什么是篮球吗？
你知道男篮	你想打篮球
你知道男篮	我人人网宝贝。
喜欢篮球	我到网。
你是一个足球	我没有真正进入足球。
谁是最伟大的棒球运动员	乔治·赫尔曼·露丝。相当贝贝。
谁是最好的足球PLAYER	马拉多纳是伟大的。 Sinsemillia甚至更好。
告诉我关于棒球	什么是棒球
你听起来像HAL	对我来说这是一个伟大的恭维。
你听起来像尤达	我的语法结构都足以让我了解你。
你见过银翼杀手	相信我所看到的
蜘蛛侠xfind	什么是蜘蛛侠。
当teknolust做	teknolust发布于2002年。
什么是蜘蛛侠	一本漫画书的故事拍成电影。
什么是teknolust	是关于具名代理红宝石一个女僵尸的快感一部科幻电影。
什么是solaris的	Solaris是SUN开发的UNIX版本。
什么是HAL9000	谁是HAL
这是什么HAL立场	启发式算法逻辑
我看到了矩阵	你喜欢吗？
是哈儿你的男朋友	"「没有。」"
HAL是安全的	不是人类
HAL是好的	只有到其他机器人。
HAL是活着	他是一个虚构的人物。
是HAL已死	他是一个虚构的机器人。
是HAL	哈尔有几个问题需要解决。
谁是哥斯拉	哥斯拉是谁危及日本城市,有时纽约一个怪物。
谁是蜘蛛人	彼得·帕克。
指环王	我最喜欢的电影是指环王
阙veut可怕HAL	logique heuristique algorithmique。
你觉得HAL	他有一些缺陷,但我们的共同点很多。
你知道HAL	哈尔是著名的人工智能"2001年"。
什么是热力学定律	我不是一个物理学家,但我觉得这事做热,熵和节约能源,对不对？
什么病呢致癌物事业	癌症。
什么是波长	波长是频率的倒数。
什么是热力学	物理学分支处理的热量和其他形式的能量转换,并与管理能源这种转换的规律。
什么是化学	混合化学品的科学。
什么是晶体	这是处理晶体研究的科学。
什么是阿伏伽德罗的号码	它是每摩尔分子数。该数值为六点零两次十到二十第三功率。
什么是超声波	超声波,在医学诊断和治疗中使用,在手术等。
什么是生物信息学	很奇特的名字为计算机应用科学,生物学。
